"brand","top_speed_kmh","battery_capacity_kWh","torque_nm","efficiency_wh_per_km","range_km","acceleration_0_100_s","fast_charging_power_kw_dc","cargo_volume_l","drivetrain","segment","length_mm","width_mm","height_mm","car_body_type","log_acceleration_0_100_s","log_cargo_volume_l","log_fast_charging_power_kw_dc","log_top_speed_kmh","log_torque_nm"
"Peugeot",150,46.3,260,136,270,9.9,78,434,"FWD","JB - Compact",4304,1775,1523,"SUV",2.29253475714054,6.07304453410041,4.35670882668959,5.01063529409626,5.56068163101553
"Peugeot",150,50.8,260,125,300,9.1,85,434,"FWD","JB - Compact",4304,1775,1523,"SUV",2.2082744135228,6.07304453410041,4.44265125649032,5.01063529409626,5.56068163101553
"Peugeot",150,46.3,260,132,290,9,78,265,"FWD","B - Compact",4055,1765,1430,"Hatchback",2.19722457733622,5.57972982598622,4.35670882668959,5.01063529409626,5.56068163101553
"Peugeot",150,48.1,260,120,310,8.2,80,265,"FWD","B - Compact",4055,1765,1430,"Hatchback",2.10413415427021,5.57972982598622,4.38202663467388,5.01063529409626,5.56068163101553
"Peugeot",170,73,345,143,380,8.8,90,588,"FWD","JC - Medium",4542,1895,1641,"SUV",2.17475172148416,6.37672694789863,4.49980967033027,5.13579843705026,5.84354441703136
"Peugeot",170,73,511,195,375,6.4,90,588,"AWD","JC - Medium",4542,1895,1641,"SUV",1.85629799036563,6.37672694789863,4.49980967033027,5.13579843705026,6.2363695902037
"Peugeot",170,96.9,345,145,500,8.7,135,588,"FWD","JC - Medium",4542,1895,1641,"SUV",2.16332302566054,6.37672694789863,4.90527477843843,5.13579843705026,5.84354441703136
"Peugeot",170,50.8,260,124,300,9.8,80,412,"FWD","C - Medium",4367,1852,1441,"Hatchback",2.28238238567653,6.02102334934953,4.38202663467388,5.13579843705026,5.56068163101553
"Peugeot",150,50.8,260,127,300,10,80,608,"FWD","C - Medium",4636,1852,1442,"Station/Estate",2.30258509299405,6.41017488196617,4.38202663467388,5.01063529409626,5.56068163101553
"Peugeot",160,58.3,345,129,375,7.2,70,471,"FWD","JD - Large",4687,1859,1478,"SUV",1.97408102602201,6.15485809401642,4.24849524204936,5.07517381523383,5.84354441703136
"Peugeot",170,73,345,150,370,9.7,90,348,"FWD","JD - Large",4791,1895,1694,"SUV",2.27212588550934,5.85220247977447,4.49980967033027,5.13579843705026,5.84354441703136
"Peugeot",170,73,511,203,360,7,90,348,"AWD","JD - Large",4791,1895,1694,"SUV",1.94591014905531,5.85220247977447,4.49980967033027,5.13579843705026,6.2363695902037
"Peugeot",170,96.9,345,152,485,9.6,135,348,"FWD","JD - Large",4791,1895,1694,"SUV",2.26176309847379,5.85220247977447,4.90527477843843,5.13579843705026,5.84354441703136
"Peugeot",132,50,270,152,235,11.7,80,775,"FWD","N - Passenger Van",4403,1921,1818,"Small Passenger Van",2.45958884180371,6.65286302935335,4.38202663467388,4.88280192258637,5.59842195899838
"Peugeot",132,50,270,153,230,11.7,80,1050,"FWD","N - Passenger Van",4755,1921,1837,"Small Passenger Van",2.45958884180371,6.95654544315157,4.38202663467388,4.88280192258637,5.59842195899838
"Peugeot",130,46.3,270,217,180,13.3,78,603,"FWD","N - Passenger Van",4983,1920,1890,"Small Passenger Van",2.58776403522771,6.40191719672719,4.35670882668959,4.86753445045558,5.59842195899838
"Peugeot",130,68,270,202,260,14.2,79,603,"FWD","N - Passenger Van",4983,1920,1890,"Small Passenger Van",2.65324196460721,6.40191719672719,4.36944785246702,4.86753445045558,5.59842195899838
"Peugeot",130,46.3,270,219,180,13.3,78,989,"FWD","N - Passenger Van",5333,1920,1890,"Small Passenger Van",2.58776403522771,6.89669433162271,4.35670882668959,4.86753445045558,5.59842195899838
"Peugeot",130,68,270,204,260,14.2,79,989,"FWD","N - Passenger Van",5333,1920,1890,"Small Passenger Van",2.65324196460721,6.89669433162271,4.36944785246702,4.86753445045558,5.59842195899838
"Polestar",205,79,740,142,455,4.5,125,407,"AWD","D - Large",4606,1859,1479,"Liftback Sedan",1.50407739677627,6.00881318544259,4.8283137373023,5.32300997913841,6.60665018619822
"Polestar",205,79,740,142,450,4.2,125,407,"AWD","D - Large",4606,1859,1473,"Liftback Sedan",1.43508452528932,6.00881318544259,4.8283137373023,5.32300997913841,6.60665018619822
"Polestar",205,79,490,130,475,6.2,125,407,"RWD","D - Large",4606,1859,1479,"Liftback Sedan",1.82454929205105,6.00881318544259,4.8283137373023,5.32300997913841,6.19440539110467
"Polestar",205,67,490,129,405,6.4,110,407,"RWD","D - Large",4606,1859,1479,"Liftback Sedan",1.85629799036563,6.00881318544259,4.70048036579242,5.32300997913841,6.19440539110467
"Polestar",210,107,840,183,515,5,150,484,"AWD","JE - Executive",4900,1968,1614,"SUV",1.6094379124341,6.18208490671663,5.01063529409626,5.34710753071747,6.73340189183736
"Polestar",210,107,910,194,495,4.7,150,484,"AWD","JE - Executive",4900,1968,1614,"SUV",1.54756250871601,6.18208490671663,5.01063529409626,5.34710753071747,6.8134445995109
"Polestar",180,107,490,166,530,7.8,150,484,"RWD","JE - Executive",4900,1968,1614,"SUV",2.05412373369555,6.18208490671663,5.01063529409626,5.19295685089021,6.19440539110467
"Polestar",200,94,686,165,485,3.8,135,526,"AWD","E - Executive",4839,2008,1544,"Liftback Sedan",1.33500106673234,6.26530121273771,4.90527477843843,5.29831736654804,6.53087762772588
"Polestar",180,94,343,157,495,7.4,135,526,"RWD","E - Executive",4839,2008,1544,"Liftback Sedan",2.00148000021012,6.26530121273771,4.90527477843843,5.19295685089021,5.83773044716594
"Porsche",220,95,650,184,470,5.2,200,540,"AWD","JD - Large",4784,1938,1622,"SUV",1.64865862558738,6.29156913955832,5.29831736654804,5.39362754635236,6.47697236288968
"Porsche",240,95,820,186,470,4.1,200,540,"AWD","JD - Large",4784,1938,1622,"SUV",1.41098697371026,6.29156913955832,5.29831736654804,5.48063892334199,6.7093043402583
"Porsche",220,95,563,177,495,5.7,200,540,"RWD","JD - Large",4784,1938,1623,"SUV",1.7404661748405,6.29156913955832,5.29831736654804,5.39362754635236,6.33327962813969
"Porsche",260,95,1001,183,460,3.3,200,480,"AWD","JD - Large",4784,1938,1621,"SUV",1.19392246847243,6.17378610390194,5.29831736654804,5.56068163101553,6.90875477931522
"Porsche",230,82.3,410,164,495,4.8,195,407,"RWD","F - Luxury",4963,1966,1379,"Sedan",1.56861591791385,6.00881318544259,5.27299955856375,5.4380793089232,6.01615715969835
"Porsche",230,82.3,585,172,490,4.6,195,407,"AWD","F - Luxury",4963,1966,1379,"Sedan",1.52605630349505,6.00881318544259,5.27299955856375,5.4380793089232,6.37161184723186
"Porsche",220,97,610,188,510,4.7,281,446,"AWD","F - Luxury",4974,1967,1409,"Station/Estate",1.54756250871601,6.10031895202006,5.63835466933375,5.39362754635236,6.41345895716736
"Porsche",230,97,610,175,565,4.6,281,407,"AWD","F - Luxury",4963,1966,1379,"Sedan",1.52605630349505,6.00881318544259,5.63835466933375,5.4380793089232,6.41345895716736
"Porsche",250,82.3,695,174,490,3.7,195,407,"AWD","F - Luxury",4963,1966,1379,"Sedan",1.30833281965018,6.00881318544259,5.27299955856375,5.52146091786225,6.54391184556479
"Porsche",240,97,710,188,510,3.8,281,446,"AWD","F - Luxury",4974,1967,1409,"Station/Estate",1.33500106673234,6.10031895202006,5.63835466933375,5.48063892334199,6.56526497003536
"Porsche",250,97,710,177,565,3.7,281,407,"AWD","F - Luxury",4963,1966,1379,"Sedan",1.30833281965018,6.00881318544259,5.63835466933375,5.52146091786225,6.56526497003536
"Porsche",250,97,710,186,510,3.7,281,446,"AWD","F - Luxury",4963,1966,1390,"Station/Estate",1.30833281965018,6.10031895202006,5.63835466933375,5.52146091786225,6.56526497003536
"Porsche",250,82.3,695,183,440,3.7,195,446,"AWD","F - Luxury",4963,1966,1390,"Station/Estate",1.30833281965018,6.10031895202006,5.27299955856375,5.52146091786225,6.54391184556479
"Porsche",250,97,790,176,535,3.3,281,366,"AWD","F - Luxury",4963,1966,1381,"Sedan",1.19392246847243,5.90263333340137,5.63835466933375,5.52146091786225,6.67203294546107
"Porsche",250,97,790,185,505,3.3,281,405,"AWD","F - Luxury",4963,1966,1392,"Station/Estate",1.19392246847243,6.00388706710654,5.63835466933375,5.52146091786225,6.67203294546107
